Period,Dependent,Independent,Dickey-Fuller,ADF,Beta,Std,HalfLife,SignalStr,Corr,PeriodQt,PeriodStr
120,BTOW3,EQTL3,-2.999151417070154,95,2.029584839290116,2.2224913363496066,6,Long/Short,0.2982138481896888,2,"120,140"
120,BTOW3,FLRY3,-3.356354392630909,95,1.3904772466688742,2.8194659378806097,5,Long/Short,0.30641391504964993,4,"120,140,160,180"
100,BTOW3,GGBR4,-3.154806419246661,95,-3.4552981218720697,2.402232404395127,4,Long/Short,0.025694827218940237,6,"100,120,140,160,180,200"
120,BTOW3,GNDI3,-3.267241696621931,95,0.9253659122067945,2.6555552086117236,5,Long/Short,0.49404648568127263,6,"120,140,160,180,200,220"
120,BTOW3,GOAU4,-3.2677024328996502,95,-2.7252127213233,2.557414139336333,5,Long/Short,0.32548491541671815,4,"120,140,160,180"
120,BTOW3,GOLL4,-3.2158319895367704,95,1.3373711292756085,2.2809897389781173,5,Long/Short,0.29165769211640424,7,"120,140,160,180,200,220,240"
120,BTOW3,HAPV3,-3.432671562414196,95,1.157785109836129,2.685534820656863,5,Long/Short,0.47115733932836873,8,"120,140,160,180,200,220,240,250"
100,BTOW3,HGTX3,-3.6349828223589133,99,-3.6507619317263242,0.8928263069662912,3,Long/Short,0.1435016937210892,8,"100,120,140,160,180,200,220,240"
120,BTOW3,HYPE3,-3.0182694784766593,95,0.8544498387206789,2.4232204294988438,6,Long/Short,0.48737169232704786,1,120
120,BTOW3,IGTA3,-3.093423958292261,95,0.8098446606640544,2.4850962626269655,6,Long/Short,0.4059451681680493,3,"120,140,160"
